Metric,Agent Median,Dev Median,p (MWU),Cliff's δ,Effect,sig,p (Bonferroni),sig_bonf
Stars,0.0,111.0,3.128806682971453e-36,-0.6316833831987226,large,True,3.441687351268598e-35,True
Forks,0.0,49.0,2.682104977072385e-44,-0.6967615917652348,large,True,2.9503154747796237e-43,True
Size Kb,2266.0,18853.0,9.686020412165606e-15,-0.39713519463004016,medium,True,1.0654622453382167e-13,True
Open Issues,2.0,28.0,1.0182844530959174e-25,-0.5347636690591718,large,True,1.120112898405509e-24,True
Contributor Count,2.0,32.0,5.230902789955995e-46,-0.7278124854666935,large,True,5.753993068951594e-45,True
Age Days,367.0,3173.0,2.0251613505521877e-73,-0.9295580324615933,large,True,2.2276774856074064e-72,True
Age At Pr Days,19.0,539.0,1.0199642013017036e-26,-0.5482970840373913,large,True,1.121960621431874e-25,True
Num Topics,0.0,3.0,1.8116835112056743e-20,-0.41970638845396624,medium,True,1.9928518623262416e-19,True
Num Languages,4.0,4.0,0.02965196247987008,-0.11071666640829678,negligible,True,0.3261715872785709,False
Subscribers,0.0,11.0,2.7551669296576574e-49,-0.745577999286899,large,True,3.030683622623423e-48,True
Merge Rate,0.8648401826484018,0.8471248294082065,0.22632138451402095,0.06290978232362969,negligible,False,1.0,False
